Gatenavn,Kommentar,Dato,Tidpunkt,lat,lon
AAGOTS VEI,Hele (Noe privat ),09.05.2023,07.00-19.00,59.8909505,10.8401424
AASMUND VINJES VEI,Hele,18.04.2023,07.00-19.00,59.9432381,10.7110821
AASTA HANSTEENS VEI,Hele,28.04.2023,07.00-19.00,59.9614665,10.9198752
ABBEDIEKOLLEN,Hele,25.05.2023,07.00-19.00,59.9269697,10.6655542
ABBEDIENGVEIEN,Hele,25.05.2023,07.00-19.00,59.9253454,10.6702963
ABBEDISVINGEN,Hele,25.05.2023,07.00-19.00,59.9250252,10.6638275
ABILDSØFARET,Hele,09.05.2023,07.00-19.00,59.8824079,10.8201383
ABILDSØVEIEN,Hele,09.05.2023,07.00-19.00,59.8815869,10.8196981
ADAM HIORTHS VEI,Terneveien – Hasleveien/Ende,03.05.2023,07.00-19.00,59.9257335,10.7865461
ADMIRAL BØRRESENS VEI,Hele,21.04.2023,07.00-19.00,59.9004108,10.6898367
ADVENTVEIEN,Hele,25.05.2023,07.00-19.00,59.9231505,10.6657944
ADVOKAT DEHLIS PLASS,Plass – Rundkjøring,23.04.2023,19.00-07.00,59.9391279,10.758895
ADVOKAT DEHLIS PLASS,Bjølsengata – Maridalsveien,23.04.2023,19.00-07.00,59.9391279,10.758895
AGATHE GRØNDAHLS GATE,Vogts Gt – Jolly Kr. Johansens Gt,04.05.2023,07.00-19.00,59.9360294,10.7722456
AGMUND BOLTS VEI,Hele,10.05.2023,07.00-19.00,59.9148584,10.8127808
AGRONOMVEIEN,Hele,09.05.2023,07.00-19.00,59.8836524,10.8225489
AKEBAKKESKOGEN,Hele,28.04.2023,07.00-19.00,59.9512395,10.7990967
AKERLIA,Hele,21.04.2023,07.00-19.00,59.9478155,10.868974
AKERSBAKKEN,Maridalsveien – Ullevålsveien,24.04.2023,07.00-19.00,59.9237594,10.7461616
AKERSBORG TERRASSE,Hele,21.04.2023,07.00-19.00,59.9397382,10.7330405
AKERSELVA,Lakkegata – Nylandsveien,03.05.2023,07.00-19.00,59.96050767568411,10.77474754908406
AKERSELVA,Lillogata,03.05.2023,07.00-19.00,59.96050767568411,10.77474754908406
AKERSELVAALMENNINGEN,Trelastgata – Dronning Eufemias Gate,03.05.2023,07.00-19.00,59.9138688,10.7522454
AKERSGATA,Akersveien – Henrik Ibsens Ring,16.04.2023,19.00-07.00,59.914054,10.7426683
AKERSVEIEN,Thor Olsens Gt – Akersbakken,20.04.2023,07.00-19.00,59.9208321,10.7465681
ALF BJERCKES VEI,Hele,18.04.2023,07.00-19.00,59.9347372,10.836495
ALFASET 3. INDUSTRIVEI,Inn til posten,09.05.2023,19.00-07.00,59.9326832,10.8465376
ALMEVEIEN,Hele,05.05.2023,07.00-19.00,59.9540739,10.7335025
ALNABRUVEIEN,Hele,15.05.2023,19.00-07.00,59.9251464,10.8347246
ALNAFETGATA,Ekebergeveien – Alnagata,28.04.2023,07.00-19.00,59.90274,10.7719642
ALNAGATA,Arctanders Gate – Ende,28.04.2023,07.00-19.00,59.9031711,10.7737083
ALNAGATA,Arctanders Gate – Konows Gate,28.04.2023,07.00-19.00,59.9031711,10.7737083
ALNAPARKVEIEN,Hele,09.05.2023,07.00-19.00,59.9402075,10.8789967
ALUNDAMVEIEN,Hele,03.05.2023,07.00-19.00,59.966748,10.8652645
ALUNSJØVEIEN,Hele,03.05.2023,07.00-19.00,59.9632988,10.8640797
AMAGERVEIEN,Hele,10.05.2023,07.00-19.00,59.9512679,10.6614837
AMALDUS NIELSENS PLASS,Tidemands Gate – Eckersbergs Gate,14.04.2023,07.00-19.00,59.9243052,10.7135142
AMMERUD,G/S og plasser,25.04.2023,07.00-19.00,59.9640219,10.871904
AMMERUDGRENDA,Hele,28.04.2023,07.00-19.00,59.9675168,10.8723963
AMMERUDHELLINGA,Ammerudveien-Ammerudgrenda,28.04.2023,07.00-19.00,59.9620202,10.8722147
AMMERUDHELLINGA,Tjernveien-Ammerudveien,03.05.2023,07.00-19.00,59.9620202,10.8722147
AMMERUDVEIEN,Ammerudrudveien Nr. 49–70,28.04.2023,07.00-19.00,59.9645006,10.8704451
AMMERUDVEIEN,Ammerudrudveien Nr. 21–37,28.04.2023,07.00-19.00,59.9645006,10.8704451
AMMERUDVEIEN,Hele,28.04.2023,07.00-19.00,59.9645006,10.8704451
AMTMANN MEINICHS GATE,Borger Withs Gt – Sandakervn,25.04.2023,07.00-19.00,59.9418887,10.7732066
AMUND HELLANDS VEI,Hele,17.04.2023,07.00-19.00,59.857551,10.8024585
ANKERBROA,Torggata – Søndre Gate,08.05.2023,19.00-07.00,59.9138688,10.7522454
